split,repeat,point,true_Strength,mu_Strength,sigma_uc_Strength,resid_Strength,true_Toughness,mu_Toughness,sigma_uc_Toughness,resid_Toughness,sigma_cal_Strength,sigma_cal_Toughness
1,0,81,14.488534728757534,21.816136248437058,7.064990208128505,-7.327601519679524,14.601191023961066,15.052819814198958,4.836975108715242,-0.4516287902378924,5.758826134679865,3.8029113882363723
1,0,92,17.822310010837665,23.646527048355274,8.947999172707485,-5.824217037517609,18.745286497855265,16.329493286256145,6.559581939148493,2.4157932115991194,6.93538656732925,4.768696260922227
1,0,98,68.53814320899697,71.18566724134344,5.906645075110657,-2.6475240323464675,19.49220034806418,15.822829235900397,4.175573890215502,3.669371112163784,5.035057381318931,3.4320947397023684
1,0,103,50.1758077798978,37.992230116309486,11.308604882012226,12.183577663588316,1.09322872802545,8.723251941263527,7.23421381069936,-7.630023213238077,8.410363759100182,5.146930716205157
1,0,105,64.4252724511907,66.28602974923072,3.0267987219002412,-1.8607572980400278,11.742895108603914,10.86338989529202,1.4113754633543325,0.8795052133118944,3.235643074199797,1.8823383016107338
1,0,107,67.92914865962737,68.55744877769187,4.272606581190458,-0.6283001180645016,10.209380580032068,12.414743866462711,1.9790447502984898,-2.205363286430643,4.014061160091508,2.200603851435092
1,0,108,66.91419695119404,70.07978246519482,5.084307874247895,-3.1655855140007816,11.52766858628333,13.929635307609749,2.569684864055038,-2.401966721326419,4.521236453733966,2.5317480666963643
2,0,1,59.38278865114611,49.97565506034147,14.582943679058541,9.40713359080464,10.058174687361719,6.946684605946935,7.519370058182655,3.111490081414784,10.456268767605996,5.306804452513264
2,0,6,102.31586665053233,103.22558866700538,4.485451424201859,-0.9097220164730544,5.1165813362992765,5.94218387223755,3.283365629544347,-0.8256025359382733,4.147052996716502,2.931875405714915
2,0,7,100.54575565420733,99.6106977511598,3.2809438468579386,0.9350579030475217,4.83407354664049,5.806071540876468,2.117627273657572,-0.971997994235978,3.394440564706072,2.2783005738178614
2,0,15,17.2175256875071,22.046770653559285,13.641709852432902,-4.829244966052187,14.799912443472774,21.4376223501007,8.667253493244495,-6.637709906627926,9.868157665051312,5.950368867563549
2,0,20,93.87229119248633,94.15778518293817,1.9163024651825902,-0.2854939904518403,4.1169070132174665,4.962399912836633,0.8261026455707546,-0.8454928996191668,2.541771732726191,1.5542032775162111
2,0,22,22.28778242646885,22.742641915218705,7.144716335111386,-0.4548594887498538,20.714414689313326,18.4928360808562,4.318421293869082,2.2215786084571256,5.808641408117721,3.512182580475866
2,0,29,94.19984376701287,95.44441500344843,1.8221014932548045,-1.2445712364355614,4.6685111413823535,5.5119422107173435,1.6911339820403297,-0.84343106933499,2.482912142372552,2.039185784494559
2,0,35,63.5781120854075,47.09127749016466,15.817973017915195,16.48683459524284,1.977766810996525,10.829517426807922,7.514871867791799,-8.851750615811397,11.227952110911144,5.304282528091974
2,0,43,20.481919337918775,21.387121457730196,7.171705758872829,-0.9052021198114204,19.09315793183945,19.44927179573985,3.8320364228746633,-0.3561138639004007,5.825505208925394,3.239489391054618
2,0,44,18.632969188112835,26.113673118053576,8.041134357138583,-7.480703929940741,15.479088510995524,16.449252869174224,3.0764228630321595,-0.9701643581786996,6.368750252881954,2.815852300570856
2,0,48,87.35859796967429,77.85755411273064,9.950327049216865,9.501043856943653,6.664549674421354,7.743310278099981,4.346818588264268,-1.078760603678627,7.5616710631686495,3.5281036118264617
2,0,50,85.67884501267451,77.90259538770512,6.634841744082698,7.776249624969395,26.033455616949,23.89989890597537,3.7796484483464132,2.133556710973629,5.490056483296733,3.210117910333558
2,0,51,71.3828894764614,73.57423611692178,5.174506140049285,-2.191346640460381,21.64499300940713,24.090429501392453,3.445532530844938,-2.4454364919853226,4.577595033343403,3.022794782881822
2,0,62,71.4438364158991,74.97933858258844,4.125100742287107,-3.5355021666893407,20.77736434766016,22.67836210580145,2.1733852255003083,-1.9009977581412905,3.9218950913669013,2.309561442792889
2,0,66,14.9274385746899,14.470034426754745,5.401219259803371,0.45740414793515427,13.584928849166,17.512631902246152,2.1313412855604223,-3.927703053080153,4.719252184893289,2.285989377209101
2,0,74,79.99719446748381,71.93743649205814,3.546672920430825,8.059757975425669,20.5842603804155,21.09186406730929,2.0655338255852325,-0.5076036868937912,3.560476053464533,2.2490942202695843
2,0,78,15.7585522977264,16.248713613689745,9.409451679389303,-0.4901613159633449,16.120802777688827,16.28974743405911,4.072582634851934,-0.16894465637028233,7.223715922696973,3.3743523723253377
2,0,102,17.088880431403968,38.42069313255863,16.73751825194288,-21.331812701154664,18.899387459468134,8.117910679361245,7.663055399077974,10.781476780106889,11.802511530828825,5.387362085405332
2,0,106,61.0428787454959,67.79131363102829,1.4443365156912495,-6.74843488553239,11.43990210389649,10.869979163706294,0.8892249939073282,0.569922940190196,2.2468732632154693,1.589593018271237
