L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible
1.2000000000000002,1.0,21.694422454816014,2.303109209052332,2.78346017844256,20.18868610054525,1.5243254935242347,1.945664087031001,0.5664996832622089,0.03941716295052186,0.20217263849896985,0.19191051528829942,1,Bar-dominant,True
1.2200000000000002,1.0,23.18181505420696,3.3615952687307726,3.4448339901211793,20.83574434815106,1.434938451026785,1.8955489638740515,0.6417904228054766,0.03617531390069823,0.19881287637178832,0.1232213869220368,1,Bar-dominant,True
1.2400000000000002,1.0,25.389341630383193,5.024239820443401,4.483704133547469,21.59827472788618,1.5235245804959785,1.9452150526527776,0.6747628831178321,0.03430581231272627,0.20063407870221556,0.09029722586722609,1,Bar-dominant,True
1.2600000000000002,1.0,28.887751864604315,6.931839718400243,5.6756297183329085,22.386022132858763,1.7399636376170957,2.066562282637574,0.6878938692257021,0.03286093646572695,0.2031871947039207,0.07605799960465025,1,Bar-dominant,True
1.2800000000000002,1.0,34.59298701481232,8.796531014848254,6.840744722974936,23.041173684260222,2.0817957058800793,2.258211493992597,0.6917346831243646,0.03159589637762529,0.20526739435857463,0.07140202613943547,1,Bar-dominant,True
1.3000000000000003,1.0,43.13817894743096,9.867312747462552,7.509801239590843,23.378032598552902,2.538283959301374,2.514143051864216,0.6907919663239771,0.030474055682057806,0.2067652183950622,0.0719687595989029,1,Bar-dominant,True
1.3200000000000003,1.0,53.7910040061394,9.437236181965382,7.241076512575615,23.288959602723978,2.797494205824969,2.659470082104016,0.6870969276374078,0.02949047695507271,0.20775423952932232,0.07565835587819716,1,Bar-dominant,True
1.3400000000000003,1.0,63.92128728877535,8.60074827550968,6.718413800056053,23.108801992465892,2.7635010099226593,2.640411691183529,0.6816545153353323,0.028641484035106125,0.208315276268627,0.08138872436093461,1,Bar-dominant,True
1.3600000000000003,1.0,71.40403577004776,7.490172879691143,6.0244930101005085,23.207995815932307,2.3776516184003285,2.424084030754141,0.6750272266010867,0.027921978238283202,0.20851712577880402,0.08853366938182608,1,Bar-dominant,True
1.3800000000000003,1.0,76.10642748406593,6.689827485087417,5.524413222134948,23.498690326447083,1.8633555956584251,2.1357423673684766,0.6675799360912438,0.02732638642289748,0.20842119649329177,0.09667248099256694,1,Bar-dominant,True
1.4000000000000004,1.0,78.65879495781726,6.458358155896486,5.379784248390877,23.769666515757827,1.7833352569301304,2.090878715787838,0.6595864522192815,0.02684950380144972,0.20808652929802443,0.10547751468124436,1,Bar-dominant,True
1.4200000000000004,1.0,79.7965430158948,6.496129399475862,5.403384853339347,23.958866699045736,2.0493988574232227,2.2400481002282406,0.6512756920342544,0.02648689534979708,0.2075721003655703,0.11466531225037818,1,Bar-dominant,True
1.4400000000000004,1.0,80.06210627724565,6.577766013139346,5.4543938561103005,24.12552782058351,2.2186879794431262,2.3349605725745697,0.6428497963870061,0.026234983788831354,0.20693681649885148,0.12397840332531106,1,Bar-dominant,True
1.4600000000000004,1.0,80.07860540785336,6.5343185112070765,5.427246554832106,24.133814656008756,2.4895826890201005,2.4868385333360905,0.6344890562314524,0.02609096471023772,0.20623811565399902,0.1331818634043109,1,Bar-dominant,True
1.4800000000000004,1.0,80.12438574781332,6.111179291177625,5.162856489169254,23.87988206779835,2.6404337541896106,2.571413651810815,0.6263512957907901,0.026052651065528974,0.2055300344244526,0.1420660187192283,1,Bar-dominant,True
1.5000000000000004,1.0,80.10233649157884,5.661017843835446,4.881582126056804,23.392156550516365,2.591814044098785,2.5441548602569224,0.6185698890599113,0.026118313983454267,0.20486141084304385,0.15045038611359066,1,Bar-dominant,True
1.5200000000000005,1.0,79.87256242950733,5.3816205347224075,4.707006314111792,22.687217638427533,2.368619014294239,2.4190198731921813,0.6112525640811813,0.02628655776079348,0.20427463781276392,0.1581862403452613,1,Bar-dominant,True
1.5400000000000005,1.0,79.30832453443028,5.0422099323628835,4.494932398018038,21.77899888811055,1.986477840620849,2.2047712366235253,0.604481808079542,0.02655624300027158,0.20380512253772,0.16515682638246645,1,Bar-dominant,True
1.5600000000000005,1.0,78.43157422272307,4.468498942358786,4.136460578014859,20.738028387530782,1.526077173126026,1.946646171643296,0.5983168003881598,0.026926453415834776,0.20348138890645215,0.17127535728955326,1,Bar-dominant,True
1.5800000000000005,1.0,77.41260358112208,3.86041703662879,3.7565127798099187,19.670446654789238,1.1325895278027722,1.7260361004836475,0.5927962877606957,0.027396488786627666,0.2033256122926491,0.17648161116002756,1,Bar-dominant,True
1.6000000000000005,1.0,76.36348851342191,3.312426195459825,3.4141116796017656,18.641075760242835,0.8737354029835689,1.5809087309841048,0.5879416057181864,0.027965858188912805,0.20335430477298896,0.18073823131991182,1,Bar-dominant,True
1.6200000000000006,1.0,75.31486109200397,2.8087242899317797,3.099383633669757,17.672008990320965,0.7919345786176606,1.5350468445976697,0.5837590615733016,0.028634243046449282,0.20357886305125264,0.18402783232899647,1,Bar-dominant,True
1.6400000000000006,1.0,74.29466641682092,2.392258871357189,2.839163559161941,16.77686361812935,0.8879581867318836,1.5888827788915716,0.5802410740037732,0.02940139920033943,0.20400574181672654,0.18635178497916083,1,Bar-dominant,True
1.6600000000000006,1.0,73.34224939815398,2.116312217237297,2.666743819868749,15.968841103791982,1.0655722978379303,1.6884626822399298,0.5773658042571311,0.03026697419184611,0.20463612566662945,0.1877310958843933,1,Bar-dominant,True
1.6800000000000006,1.0,72.48620058567937,1.9602501961218401,2.569231592079226,15.254194262385116,1.2391791168461765,1.7857958848205242,0.5750955486660577,0.03123023647617245,0.20546516003031656,0.1882090548274533,1,Bar-dominant,True
1.7000000000000006,1.0,71.73522272270822,1.8616441539341932,2.5076195818124125,14.629477093161025,1.3725941307893907,1.8605954269906442,0.5733748874194708,0.03228975314899782,0.20648107001855093,0.18785428941298038,1,Bar-dominant,True
1.7200000000000006,1.0,71.08484494181342,1.7784764140790195,2.455653885510827,14.08469249857588,1.4574617899412856,1.9081767438303927,0.5721303060070659,0.033443107722571176,0.20766478100475702,0.18676180526560585,1,Bar-dominant,True
1.7400000000000007,1.0,70.52546634013002,1.6992697660315759,2.4061631980800082,13.607627238171819,1.4993624632550255,1.9316684865350144,0.5712732045179465,0.0346867920511764,0.20899076680668813,0.18504923662418898,1,Bar-dominant,True
