point,L0Bar,L0Y,Class,true_Strength,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,true_Toughness,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,test
31,1.2,2.5,3,92.37908589082757,92.90984583445501,2.135907928054668,2.6789878072480193,5.06397086211145,4.842597869633891,1.1191743811808135,1.7185148568408994,True
32,1.3,1.0,1,37.440819767292076,43.13817894743096,9.867312747462552,7.509801239590843,25.156835357817474,23.378032598552902,2.538283959301374,2.514143051864216,False
33,1.3,1.1,1,20.551007181485623,21.47739086964128,1.8174292255583986,2.479992769493429,17.6341476127744,19.35819588620244,0.994240220123812,1.648470131196683,False
34,1.3,1.5,2,20.51884998427476,25.62823960443655,9.947815642248267,7.560101860830734,18.09916668244404,15.442831531120977,3.739642276708466,3.1876883258808566,False
35,1.3,1.6,2,63.5781120854075,58.8684394867548,8.822352077195706,6.856878496556719,1.977766810996525,4.388830233152886,4.201452698257096,3.44660377385233,False
36,1.3,1.7,2,34.115780411653425,31.776413592059804,7.264267312498072,5.883340441592152,17.691033064657375,17.181863830934653,3.125075843010795,2.8431297449907387,False
37,1.3,2.2,3,33.62346313487976,35.75617260584345,6.113632247556517,5.164389169827025,22.885255128649302,21.764873650481498,2.5382604581193178,2.514129875853463,False
38,1.3,2.3,3,88.71483507879226,90.22439415120452,2.232823494366066,2.7395435575257636,4.810595951836794,5.306287303954449,0.48428039271109785,1.3625595691975658,False
39,1.3,2.4,3,93.89981601357904,92.71603922311698,1.1007671861822947,2.0322008497665527,4.59171662750557,5.172038103925191,0.3761103155262325,1.301913679272626,False
40,1.3,2.5,3,90.27597041297177,91.94599311358883,2.254492554616805,2.7530830357668648,3.51680282158692,5.3129254291095585,0.9584652844801885,1.628412802353263,True
41,1.4,1.0,1,86.1572725747117,78.65879495781726,6.458358155896486,5.379784248390877,24.46021001385732,23.769666515757827,1.7833352569301304,2.090878715787838,False
42,1.4,1.1,1,47.40972483928133,47.530904681550716,8.557522975109974,6.691405336954526,20.937048290013298,22.367054669574053,2.548029280048653,2.5196067962259088,True
43,1.4,1.2,1,20.481919337918775,20.62199527195836,1.2388435638623894,2.118475108528924,19.09315793183945,18.772776099036925,0.9938845687089083,1.6482707341256886,False
44,1.4,1.6,2,18.632969188112835,21.64858025314614,4.234977079953486,3.990549120006425,15.479088510995524,16.385360473567857,1.6484931629710715,2.015279076772016,False
45,1.4,1.7,2,54.98950678020617,50.30905261044995,10.755638643083051,8.064853881264588,6.403239343364375,8.39861375653732,4.79067917792734,3.776955430770082,True
46,1.4,1.8,2,35.62523389249657,37.081246128741334,6.199108460261735,5.217797269147555,17.987320114985366,15.065522115100412,2.920196516478943,2.7282635138840368,False
47,1.4,2.3,3,27.735522821141263,30.56293064540992,9.11790572400224,7.041549272479205,22.732576075377967,20.00747163421955,3.0227036759619006,2.785734471401219,False
48,1.4,2.4,3,87.35859796967429,85.02489482920454,2.060457231963223,2.6318439511608043,6.664549674421354,6.030164985609783,0.6303806134037968,1.4444711119525573,False
49,1.4,2.5,3,89.50992642268943,90.24067698152392,1.9685019808560114,2.5743875544774912,6.58320936583297,5.784469617821038,0.8906356703599809,1.5903839184082598,False
50,1.5,1.0,1,85.67884501267451,80.10233649157884,5.661017843835446,4.881582126056804,26.033455616949,23.392156550516365,2.591814044098785,2.5441548602569224,False
51,1.5,1.1,1,71.3828894764614,75.27260894019308,3.947529472020362,3.8109432401005665,21.64499300940713,23.14598854478814,1.4933766930679844,1.9283125458781645,False
52,1.5,1.2,1,56.484914849706776,52.48477370459337,8.24895357119396,6.498601925922989,21.09007756483452,20.285038515417348,2.1014656806171184,2.269239526455679,False
53,1.5,1.3,1,20.781487856364,19.14745265251935,2.177347639021164,2.704880580559647,13.267190582608643,18.413382807881565,0.8293198876807859,1.5560070343031585,True
54,1.5,1.4,1,17.02894957415735,16.889608607040806,3.91959783277244,3.793490714819844,16.996076659902027,17.254940035033545,2.0004574023854502,2.2126089213699824,False
55,1.5,1.7,2,20.299274061488774,20.217348940818862,3.6804569251235253,3.6440683089469736,18.06789415848285,16.777123921580117,1.8529313865851096,2.1298980021570655,False
56,1.5,1.8,2,45.81819199191605,40.730876795139714,13.450212448958824,9.748504348407081,11.2627084006723,12.979118003793534,6.143245316991461,4.535275839894837,True
57,1.5,1.9,2,43.50616172761773,40.76585864302381,5.639635280402017,4.868221659613134,11.167872475426345,12.402826627315205,2.249092981769814,2.3520072316161498,False
58,1.5,2.0,2,15.99250790650005,18.28137180333828,2.755400905106133,3.0660655847910996,14.311787412395875,15.95636182491393,2.7009730493767843,2.605355195790488,False
59,1.5,2.4,3,26.10144790045783,29.624229929469124,11.103026981259736,8.281912525780335,17.146073295989,17.639833494920985,2.6171850294396553,2.558379182031604,False
60,1.5,2.5,3,77.430549346183,77.8705855772901,2.593578676240502,2.964954206572566,5.28813934914015,6.467898643457795,1.4200713729024963,1.8872136903224743,False
61,1.6,1.0,1,78.60220609535597,76.36348851342191,3.312426195459825,3.4141116796017656,17.989211690166634,18.641075760242835,0.8737354029835689,1.5809087309841048,False
62,1.6,1.1,1,71.4438364158991,76.42912654853805,4.019228926196667,3.855743207818861,20.77736434766016,21.845366484334782,1.3401084195013824,1.8423822120038515,False
63,1.6,1.2,1,62.83244503940233,70.38878668836341,4.615173725145144,4.228107377971787,24.314295670270337,22.445437297652752,1.8339255622192085,2.1192423276634873,False
64,1.6,1.3,1,58.043875247217635,58.056388985015055,10.178132096839729,7.704010483974752,14.45764646727391,16.60892836547563,2.492013760896327,2.488201521338339,True
65,1.6,1.4,1,19.528272492831448,18.853726006521203,2.5527731086193657,2.9394576650276547,19.59261980698215,17.811618675593735,1.105604674127381,1.710906958411931,False
66,1.6,1.5,1,14.9274385746899,16.74635655842044,4.152713048430604,3.9391480877539387,13.584928849166,16.88004471181455,2.2670121468982183,2.3620536672313044,False
67,1.6,1.8,2,18.70656102176115,20.127393904443164,4.976392970215314,4.453807987610716,16.475500264086424,17.266222719631106,2.9742401169024855,2.7585632264083446,False
68,1.6,1.9,2,37.61040536196327,35.513238543472575,14.348537131703887,10.309804531928231,22.542665474583867,15.04823884633414,7.2572964406152725,5.159872064399503,False
69,1.6,2.0,2,44.68524155976913,41.696351315205916,8.394879381203612,6.589780745243193,7.816281837380406,10.010389698558779,3.4699283190248003,3.036472357337644,True
70,1.6,2.1,2,16.3011911471622,18.10987664870388,2.954864465407643,3.1906963949575307,15.553481880829267,15.21335115783518,3.2597972590656568,2.9186617255645517,False
71,1.6,2.5,3,26.760099448330866,28.929916443701728,11.85459728224552,8.751516173520788,17.253243737433966,16.847278090268894,2.6916436980209544,2.600124665960785,False
72,1.7,1.0,1,71.7661995486084,71.73522272270822,1.8616441539341932,2.5076195818124125,14.581765487729701,14.629477093161025,1.3725941307893907,1.8605954269906442,False
73,1.7,1.1,1,78.50919337690385,73.48868408938907,2.2250238337280615,2.7346700958124144,21.65198286684715,16.71839838731709,0.9586737626751065,1.628529686301114,True
74,1.7,1.2,1,79.99719446748381,74.21280430706801,3.0723958781257084,3.264133543903011,20.5842603804155,20.11846978648341,0.8063246897207086,1.5431147051065572,False
75,1.7,1.3,1,63.28835250491195,70.2825102120237,3.8461269968143994,3.7475839346780764,18.9934879839535,20.842734258680984,1.797112160219723,2.0986027794304967,False
76,1.7,1.4,1,67.1327722479398,66.00837855249273,5.843635628690455,4.995687190876037,10.775944631568295,13.283769999363642,2.4766033822433564,2.479561644656986,False
77,1.7,1.5,1,16.484240804319526,22.644059967324985,6.474993808463985,5.390178702666137,16.613986733013075,16.466218227038652,2.027375547598345,2.227700663134896,False
78,1.7,1.6,1,15.7585522977264,17.00736655634281,2.769402414139498,3.0748141472440267,16.120802777688827,16.676379030248526,1.551030496352036,1.9606363298553469,False
79,1.7,2.0,2,29.124210888826802,31.233495532909142,13.714575275042492,9.913686164789436,19.710073901690876,15.729732982403942,7.45737380921748,5.272046062870299,False
80,1.7,2.1,2,46.453384160498565,42.95875191584495,11.097165695107156,8.278250218536298,4.944878573759263,7.511906762731437,4.470926799942872,3.5976852663849446,False
81,1.7,2.2,2,14.488534728757534,19.165669157374676,7.158193248080333,5.817062187228068,14.601191023961066,15.924212422681327,3.8435766231803172,3.2459594402185132,False
82,1.8,1.0,1,69.86792006915198,69.27905853372873,1.562818444199477,2.320904322912491,12.97838453858875,12.486441846131727,1.543231426007963,1.9562637568304133,False
83,1.8,1.1,1,71.7471677976817,70.40352810950817,1.8812111420768118,2.5198456224037127,11.460708975733725,13.283258370206436,1.3712240115845902,1.859827265400666,False
84,1.8,1.2,1,73.50397660327812,71.6511120217651,2.2101354091619503,2.725367361954805,16.233276031999672,15.259682108875314,1.2592150132027107,1.797029072376721,False
85,1.8,1.3,1,74.59685990483652,72.49174544831547,2.1304759534364592,2.6755937467166246,20.950188488929776,18.850122899472172,1.5600929975970783,1.965717249341169,False
86,1.8,1.4,1,65.591960546395,71.05128250525486,4.8753721253199,4.390687136243271,19.04500294060005,19.793093268378566,1.3580174142089545,1.8524229455409604,False
87,1.8,1.5,1,75.22236512124877,72.11996899593066,3.1385541538845314,3.3054712172834146,11.421824151342928,11.694197908576621,1.392595626871834,1.871809327926269,False
88,1.8,1.6,1,20.127266298104225,28.6983600396454,13.035324091069608,9.489269668678155,15.478872505803125,15.667947775899368,3.3163510329334995,2.950368774631066,True
89,1.8,1.7,1,15.251624701513725,18.097189131234153,3.512235193736839,3.538958329767665,16.0562316100248,16.329528556148652,2.0166585041383986,2.2216921194146035,True
90,1.8,2.1,2,21.35579681348827,26.159654685699955,12.86713997610041,9.384183193363812,18.801330423732566,16.454859775830805,7.150512912190437,5.100003547345736,True
91,1.8,2.2,2,48.83200749593603,47.74997437603609,8.25256067070378,6.500855749797287,1.8618713309090102,4.555545230896454,4.4849030991112295,3.6055211219466785,False
92,1.8,2.3,2,17.822310010837665,18.814537087832036,2.2890852207010024,2.7746975702380903,18.745286497855265,18.015461654826403,2.108643796376732,2.273263959363146,False
93,1.9,1.0,1,68.1554204717836,67.9203203018534,1.698795623149515,2.4058669393977876,9.81690258819314,11.522328935623575,1.701537312907746,2.045018444274951,False
