kappa,L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible,lcb_Strength,lcb_Toughness
1.0,1.0,1.9800000000000009,92.87607762358948,17.884990024703427,12.519486282839084,10.167246222362637,5.1627628633788705,3.9855653053123237,0.08001674499981769,0.006529913937812203,0.8082489040139527,0.10520443704841738,3,Y-dominant,True,80.3565913407504,6.181680917050313
1.0,1.1,2.060000000000001,89.75673791541644,14.486865204628884,10.39623605742263,10.354867160281385,3.8811734710100287,3.26703822979087,0.08459663133963195,0.0056898773220603795,0.8326645281903031,0.07704896314800458,3,Y-dominant,True,79.36050185799381,7.087828930490515
1.0,1.08,2.040000000000001,89.77985253900634,15.491460643677577,11.023937394292796,10.695747130038951,4.098426632138796,3.38884188971748,0.08366099105764886,0.005674706575289225,0.8335431924293241,0.07712110993773783,3,Y-dominant,True,78.75591514471354,7.306905240321472
1.0,1.06,2.020000000000001,89.59848190006802,16.433802865427406,11.61274105533838,11.106754751632682,4.434340546068862,3.5771730694543913,0.08263546707388064,0.005719054849755215,0.8320444353655376,0.07960104271082652,3,Y-dominant,True,77.98574084472965,7.529581682178291
1.0,1.04,2.000000000000001,89.10250960976418,17.56202839677671,12.317690178927508,11.567613505848602,4.769206029389778,3.7649164433121616,0.08159003812644636,0.005829638513995639,0.8286713509264232,0.08390897243313478,3,Y-dominant,True,76.78481943083668,7.80269706253644
1.0,1.5000000000000004,1.0,80.10233649157884,5.661017843835446,4.881582126056804,23.392156550516365,2.591814044098785,2.5441548602569224,0.6185698890599113,0.026118313983454267,0.20486141084304385,0.15045038611359066,1,Bar-dominant,True,75.22075436552204,20.848001690259444
1.0,1.4800000000000004,1.0,80.12438574781332,6.111179291177625,5.162856489169254,23.87988206779835,2.6404337541896106,2.571413651810815,0.6263512957907901,0.026052651065528974,0.2055300344244526,0.1420660187192283,1,Bar-dominant,True,74.96152925864406,21.308468415987534
1.0,1.4400000000000004,1.0,80.06210627724565,6.577766013139346,5.4543938561103005,24.12552782058351,2.2186879794431262,2.3349605725745697,0.6428497963870061,0.026234983788831354,0.20693681649885148,0.12397840332531106,1,Bar-dominant,True,74.60771242113535,21.79056724800894
1.0,1.4600000000000004,1.0,80.07860540785336,6.5343185112070765,5.427246554832106,24.133814656008756,2.4895826890201005,2.4868385333360905,0.6344890562314524,0.02609096471023772,0.20623811565399902,0.1331818634043109,1,Bar-dominant,True,74.65135885302125,21.646976122672665
1.645,1.1600000000000001,2.180000000000001,98.62474361982004,1.5296230539218347,2.300162848239926,4.74995421036904,0.7789184711937333,1.527749323521359,0.08925051467861385,0.007913673665661501,0.7908765369016931,0.11195927475403152,3,Y-dominant,True,94.84097573446536,2.2368065731764046
1.645,1.02,2.160000000000001,101.65183155700439,4.7158800361862285,4.2910316991608335,4.868435345393151,0.8912089090510463,1.5907053064618124,0.08512963856804984,0.010365800981895382,0.7320450675227533,0.17245949292730142,3,Y-dominant,True,94.59308441188482,2.25172511626347
1.645,1.0,2.160000000000001,101.54035140649691,4.575706965547225,4.2034473638022956,4.907201980715167,0.9350119925917024,1.6152636413721184,0.08446625363640885,0.010981140929167839,0.718927673096427,0.18562493233799626,3,Y-dominant,True,94.62568049304214,2.2500932906580315
1.645,1.1400000000000001,2.160000000000001,99.49631972147935,1.696890843123838,2.4046767757537113,4.97267278623668,1.036184411365077,1.6719862723626089,0.0880728220212989,0.007569007213250635,0.7930282285119842,0.11132994225346632,3,Y-dominant,True,95.5406264253645,2.2222553682001887
1.645,1.2600000000000002,2.360000000000001,93.74285922703524,1.0285132373512116,1.9870544171703948,4.994568177565418,0.4087505756339895,1.3202135425354897,0.10340607008199973,0.015259653516143801,0.772405934936624,0.10892834146523243,3,Y-dominant,True,90.47415471078995,2.822816900094537
1.645,1.1,2.140000000000001,101.31064377889768,3.1889795920086152,3.3369785422148563,5.0272185510797565,1.5299140312527308,1.948797318075521,0.08675260272427587,0.007704212549427745,0.7879459376697859,0.11759724705651046,3,Y-dominant,True,95.82131407695425,1.8214469628455245
1.645,1.08,2.220000000000001,98.98632402000257,2.537957304702717,2.930200306728185,5.035992361563698,1.0428217905685604,1.6757075396394787,0.08954279300268694,0.011194762680639951,0.7420656237110206,0.15719682060565252,3,Y-dominant,True,94.16614451543471,2.279453458856756
1.645,1.04,2.300000000000001,96.46669174421211,0.6757178211095191,1.7666172682358148,5.06660988351595,0.9477696462277296,1.622416259529067,0.09354466894247217,0.01688774857676201,0.700860417167548,0.18870716531321788,3,Y-dominant,True,93.5606063379642,2.3977351365906348
