n,draw,R2_Strength,RMSE_Strength,R2_Toughness,RMSE_Toughness
50,5,0.6229768809110111,15.553918908042714,-0.1196695931180436,6.887143168233554
50,6,0.32663307422179855,20.786517243964475,-0.9374501230412458,9.059608581493992
50,7,0.8286164266826572,10.48673844454801,0.7552820719771877,3.2197864058254337
50,8,0.8231819654588983,10.651704722006011,0.12779479634116164,6.078599159184946
50,9,0.6853048368765242,14.210222344815953,0.5434470998210856,4.39784300651427
60,0,0.9172222219408223,7.28807312991913,0.2863536366399879,5.498391980653572
60,1,0.6355882624882365,15.291567912825974,0.3766841064279881,5.138640901756729
60,2,0.83996220161814,10.13367853976384,-0.29066270552940177,7.394359298251487
60,3,0.7562797265796923,12.505517483478796,-0.2591290497903125,7.303470692703314
60,4,0.8132231875869255,10.947559620836556,0.2950455160513664,5.464805477165203
60,5,0.9503626584079756,5.643650311783032,0.739803407088053,3.3200526563907604
60,6,0.9369103613542887,6.3626034899852515,0.47839242462226306,4.700738735581113
60,7,0.9648758231679244,4.747433793109665,0.2421453849854206,5.66613762342753
60,8,0.8706020549182626,9.112122070860057,0.7146613518003391,3.476758048437464
60,9,0.8217491498008165,10.694774807759632,0.46990138971466333,4.7388449776503725
70,0,0.9138895968072601,7.433334059404391,0.6853247419450859,3.6511146237405527
70,1,0.8913874771644259,8.348256612861688,0.4927920414740815,4.635399810341652
70,2,0.8749994836683737,8.955951702344745,0.7123093023301295,3.491058116545325
70,3,0.8875430334554636,8.494719085905897,0.5725932662175774,4.255149753904825
70,4,0.9632547889917844,4.855748807819181,0.6316834435157992,3.9500699805104347
70,5,0.8297695041332418,10.451401250203855,0.46275697366284596,4.770672044428209
70,6,0.9629234031506205,4.877595392169522,-0.32624611628032807,7.495597048911216
70,7,0.9612041984755189,4.989398634131822,0.7874196088140094,3.0009293420048517
70,8,0.9103522893966196,7.584473547321823,-0.16201775995394652,7.016177245872101
70,9,0.8780503405479188,8.84598371099264,-0.1191363121763882,6.885502854143192
80,0,0.9452128663547079,5.929186746867825,0.7778549108838697,3.0676974647232798
80,1,0.919561194386705,7.184369261993117,0.6597472872770636,3.7966010818946136
80,2,0.8998551426655522,8.01622992796041,0.7265113901798037,3.4037980943569504
80,3,0.8560710136860453,9.61014571431955,0.7216349283989979,3.4340098708373787
80,4,0.8284625179341663,10.491446126162776,0.28137907184779865,5.517522329111803
80,5,0.9365344076476714,6.381532837364311,0.7626014180038194,3.1712700735685857
80,6,0.9163669182740486,7.325628476766453,0.7222580935665754,3.430163924351228
80,7,0.9067928921871488,7.733575958165904,0.5213469965803107,4.5030271260372485
80,8,0.9747547419384283,4.024813366601807,0.6889623219418421,3.6299502222279183
80,9,0.9401147252881115,6.198917585551983,0.7005373865755717,3.5617667402767843
90,0,0.9782196194760042,3.7384241272580594,0.6850840213089948,3.65251087366999
90,1,0.9237137398763623,6.996470408318086,0.8019462045418608,2.896581507727894
90,2,0.943440029578663,6.024353202256476,0.748259156589332,3.2656603283986603
90,3,0.9833510314669713,3.268507648876643,0.7269661051655818,3.400967260045013
90,4,0.9299876830426266,6.702596331717787,0.7373697220913622,3.335543168019178
90,5,0.8961849759895015,8.16179991196869,0.45430416588497513,4.808055677248632
90,6,0.9504786201442829,5.637054167206379,0.7162833302655847,3.4668623271957815
90,7,0.9601812540232054,5.054749391584312,0.8051937802191704,2.8727350845620334
90,8,0.9525139779691577,5.51999563389271,0.6398099386989058,3.9062499719343324
90,9,0.9645498834004155,4.769410169340379,0.7808728581750823,3.046788137377968
94,0,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,1,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,2,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,3,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,4,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,5,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,6,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,7,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,8,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
94,9,0.9710800038226031,4.30779427740457,0.7084610356316507,3.5143294534212965
